class,subclass,subtype,n_nuclei,name,long_name,color_hex,color_name,parent,grandparent
Astro,Astro,Astro_ADAMTSL3,80072,Astro_ADAMTSL3,Astrocyte,#C19A6B,Camel Brown,Astro,Astro
Astro,Astro,Astro_GRIA1,80355,Astro_GRIA1,Astrocyte,#C19A6B,Camel Brown,Astro,Astro
Astro,Astro,Astro_PLSCR1,125498,Astro_PLSCR1,Astrocyte,#C19A6B,Camel Brown,Astro,Astro
Astro,Astro,Astro_WIF1,477109,Astro_WIF1,Astrocyte,#C19A6B,Camel Brown,Astro,Astro
EN,EN_L2_3_IT,EN_L2_3_IT_NTNG1,291692,EN_L2_3_IT_NTNG1,Layer 2-3 Intratelencephalic Excitatory Neuron,#659EC7,Blue Koi,EN_L2_3_IT,EN
EN,EN_L2_3_IT,EN_L2_3_IT_PDGFD,424822,EN_L2_3_IT_PDGFD,Layer 2-3 Intratelencephalic Excitatory Neuron,#659EC7,Blue Koi,EN_L2_3_IT,EN
EN,EN_L3_5_IT_1,EN_L3_5_IT_1_CUX2,30044,EN_L3_5_IT_1_CUX2,Layer 3-5 Intratelencephalic Excitatory Neuron 1,#95B9C7,Baby Blue,EN_L3_5_IT_1,EN
EN,EN_L3_5_IT_1,EN_L3_5_IT_1_PLSCR4,47006,EN_L3_5_IT_1_PLSCR4,Layer 3-5 Intratelencephalic Excitatory Neuron 1,#95B9C7,Baby Blue,EN_L3_5_IT_1,EN
EN,EN_L3_5_IT_2,EN_L3_5_IT_2_DACH1,40470,EN_L3_5_IT_2_DACH1,Layer 3-5 Intratelencephalic Excitatory Neuron 2,#6495ED,Cornflower Blue,EN_L3_5_IT_2,EN
EN,EN_L3_5_IT_2,EN_L3_5_IT_2_HSPA1A,1242,EN_L3_5_IT_2_HSPA1A,Layer 3-5 Intratelencephalic Excitatory Neuron 2,#6495ED,Cornflower Blue,EN_L3_5_IT_2,EN
EN,EN_L3_5_IT_2,EN_L3_5_IT_2_MET,172247,EN_L3_5_IT_2_MET,Layer 3-5 Intratelencephalic Excitatory Neuron 2,#6495ED,Cornflower Blue,EN_L3_5_IT_2,EN
EN,EN_L3_5_IT_3,EN_L3_5_IT_3,204275,EN_L3_5_IT_3,Layer 3-5 Intratelencephalic Excitatory Neuron 3,#79BAEC,Denim Blue,EN_L3_5_IT_3,EN
EN,EN_L3_5_IT_3,EN_L3_5_IT_3_HSPA1A,4673,EN_L3_5_IT_3_HSPA1A,Layer 3-5 Intratelencephalic Excitatory Neuron 3,#79BAEC,Denim Blue,EN_L3_5_IT_3,EN
EN,EN_L5_6_NP,EN_L5_6_NP,37887,EN_L5_6_NP,Layer 5-6 Near-Projecting Excitatory Neuron,#0020C2,Cobalt Blue,EN_L5_6_NP,EN
EN,EN_L5_ET,EN_L5_ET,1592,EN_L5_ET,Layer 5 Extratelencephalic Excitatory Neuron,#4863A0,Steel Blue,EN_L5_ET,EN
EN,EN_L6B,EN_L6B,41662,EN_L6B,Layer 6B Excitatory Neuron,#488AC7,Silk Blue,EN_L6B,EN
